,count,state,lat,long,date,urban
6527,7,US-FL,30.4343179,-84.27687940000001,2018-02-17,1
6528,2,US-FL,30.422482000000002,-84.257879,2018-02-21,1
6529,7,US-FL,30.4343179,-84.27687940000001,2018-02-17,1
6530,8,US-FL,30.422482000000002,-84.257879,2018-02-08,1
6531,3,US-FL,30.4297293,-84.3506787,2018-02-09,1
6532,4,US-FL,30.526459999999997,-84.01191,2018-02-04,0
6533,1,US-FL,30.372212,-84.271615,2018-02-19,0
6534,30,US-FL,30.429779600000003,-84.30057509999999,2018-02-09,1
6535,6,US-FL,30.450112100000005,-84.47587890000001,2018-02-17,0
6536,12,US-FL,30.480419,-84.2216921,2018-02-17,0
6537,25,US-FL,30.476565100000002,-84.25303459999999,2018-02-07,0
6538,2,US-FL,30.476565100000002,-84.25303459999999,2018-02-04,0
6539,1,US-FL,30.428045899999997,-84.27803279999999,2018-02-09,1
6540,35,US-FL,30.419937,-84.5714504,2018-02-09,0
6541,2,US-FL,30.4727647,-84.24038399999999,2018-02-13,1
6542,50,US-FL,30.312914000000003,-84.247238,2018-02-19,0
6543,10,US-FL,30.473014399999997,-84.2623043,2018-02-04,0
6544,89,US-FL,30.4729585,-84.2294007,2018-02-06,1
6545,30,US-FL,30.4729585,-84.2294007,2018-02-07,1
6546,2,US-FL,30.4729585,-84.2294007,2018-02-11,1
6547,15,US-FL,30.532964,-84.215598,2018-02-19,0
6548,5,US-FL,30.526459999999997,-84.01191,2018-02-15,0
6549,2,US-FL,30.523738899999998,-84.3527222,2018-02-24,1
6550,6,US-FL,30.411982000000002,-84.31939,2018-02-19,1
6551,50,US-FL,30.3685154,-84.2672932,2018-02-03,0
6552,5,US-FL,30.476565100000002,-84.25303459999999,2018-02-03,0
6553,1,US-FL,30.476565100000002,-84.25303459999999,2018-02-11,0
6554,4,US-FL,30.4106212,-84.3445253,2018-02-20,1
6555,31,US-FL,30.4752537,-84.2664971,2018-02-01,0
6556,12,US-FL,30.474124,-84.2378104,2018-02-11,1
6557,13,US-FL,30.4464169,-84.24775600000001,2018-02-13,0
6558,8,US-FL,30.4464169,-84.24775600000001,2018-02-14,0
6559,1,US-FL,30.4727647,-84.24038399999999,2018-02-08,1
6560,2,US-FL,30.4727647,-84.24038399999999,2018-02-12,1
6561,2,US-FL,30.4727647,-84.24038399999999,2018-02-11,1
6562,2,US-FL,30.474568599999998,-84.25295859999999,2018-02-07,0
6563,10,US-FL,30.474568599999998,-84.25295859999999,2018-02-11,0
6564,51,US-FL,30.335868800000004,-84.2551651,2018-02-19,0
6565,15,US-FL,30.4485511,-84.3235445,2018-02-03,1
6566,2,US-FL,30.400516800000002,-84.16668890000001,2018-02-17,0
6567,10,US-FL,30.400516800000002,-84.16668890000001,2018-02-18,0
6568,12,US-FL,30.4297293,-84.3506787,2018-02-17,1
6569,2,US-FL,30.485071500000004,-84.3846238,2018-02-10,0
6570,3,US-FL,30.4628978,-84.13872959999999,2018-02-04,0
6571,3,US-FL,30.4347,-84.2729,2018-02-19,1
6572,100,US-FL,30.417545299999997,-84.2526474,2018-02-06,1
6573,5,US-FL,30.4752537,-84.2664971,2018-02-08,0
6574,4,US-FL,30.4464169,-84.24775600000001,2018-02-18,0
6575,22,US-FL,30.5215893,-84.3238068,2018-02-13,0
